OBJECTID,Route,Signing,Qualifier,Ramp,DOT ID,County Order,Factor Group,Station Start,Station End,HPMS Sample ID,Bridge ID,Railroad Crossing,NHS,Roadway Name,Roadway Number,Speed,Oneway,Region County Station,Station ID,Route ID,From Measure,To Measure,COUNT_STATS_ID,County FIPS,Station Number,Continuous Count Site ID,Functional Class,Federal Direction,Full Count,Oneway Flag,Calculation Year,AE_Flag,AADT,DHV,DDHV,Single Unit AADT,Combination Unit AADT,Most Recent Count Year,Most Recent AADT,K-Factor,D-Factor,2nd Most Recent Count Year,2nd Most Recent AADT,3rd Most Recent Count Year,3rd Most Recent AADT,4th Most Recent Count Year,4th Most Recent AADT,Class Count Year,Class F3 - F13 %,Truck or Heavy Vehicle %,Single Unit Truck or Bus %,Combination Truck %,Motorcycle %,Passenger Vehicle %,Light Duty Truck %,Bus %,Single Unit Truck %,Axle Factor,Single Unit Peak %,CU_Peak,Class Group Year,Speed Count Year,Speed Limit,Average Speed,50th Percentile Speed,85th Percentile Speed,Vehicles Exceeding 55 mph,Vehicles Exceeding 65 mph,Average K-Factor,Average D-Factor,NYS Direction Code,Truck AADT,Symbolized Truck Percentage AADT,Truck AADT Type (Actual vs. Estimated),Truck Percent Source Field Name,Region Name,Region Number,County Number,Morning Highest Value,Afternoon Highest Value,Evening Highest Value
11657,95,1,1, ,100706,2,30,NY/Bronx Co Line,RT 87I MAJ DEGAN EXPY UNDER, ,1066889, ,Y,Alexander Hamil, ,50, ,10001,010001,100011021,0,0.07,39233601,005,0001,,11,Combined Total,Y,,2019,F,82083,5089,2832,6186,12806,2018,81839,6,56,2016,81926,2006,124158,2001,119038,2018,30,23,8,16,0,70,6,1,7,1,1,1,2019,,,,,,,,13.07251072,59.18663025,0,18992,23,Actual,,,,,5546,3849,4314
11674,95,1,1, ,100706,2,30,NY/Bronx Co Line,RT 87I MAJ DEGAN EXPY UNDER, ,1066889, ,Y,Alexander Hamil, ,50, ,10001,010001,100706021,0,0.07,39233601,005,0001,,11,Combined Total,Y,,2019,F,82083,5089,2832,6186,12806,2018,81839,6,56,2016,81926,2006,124158,2001,119038,2018,30,23,8,16,0,70,6,1,7,1,1,1,2019,,,,,,,,13.07251072,59.18663025,0,18992,23,Actual,,,,,5546,3849,4314
11668,95,1,1, ,100706,2,30,NY/Bronx Co Line,RT 87I MAJ DEGAN EXPY UNDER, ,1066889, ,Y,Alexander Hamil, ,50, ,10001,010001,100706022,0,0.07,39233601,005,0001,,11,Combined Total,Y,,2019,F,82083,5089,2832,6186,12806,2018,81839,6,56,2016,81926,2006,124158,2001,119038,2018,30,23,8,16,0,70,6,1,7,1,1,1,2019,,,,,,,,13.07251072,59.18663025,0,18992,23,Actual,,,,,5546,3849,4314
11645,95,1,1, ,100706,2,30,RT 87I MAJ DEGAN EXPY UNDER,MACOMBS RD OVER, ,1066889, ,Y,Cross Bronx Exp, ,50, ,10002,010002,100706022,0.07,0.25,39210185,005,0002,,11,Combined Total,Y,,2019,F,92788,5753,2895,6831,13079,2018,92512,6,50,2016,93986,2010,127151,2009,115798,2018,28,21,7,14,0,72,6,1,7,1,1,1,2019,,,,,,,,13.07251072,59.18663025,0,19910,21,Actual,,,,,6754,4944,5434
11632,95,1,1, ,100706,2,30,RT 87I MAJ DEGAN EXPY UNDER,MACOMBS RD OVER, ,1066889, ,Y,Cross Bronx Exp, ,50, ,10002,010002,100706021,0.07,0.58,39210185,005,0002,,11,Combined Total,Y,,2019,F,92788,5753,2895,6831,13079,2018,92512,6,50,2016,93986,2010,127151,2009,115798,2018,28,21,7,14,0,72,6,1,7,1,1,1,2019,,,,,,,,13.07251072,59.18663025,0,19910,21,Actual,,,,,6754,4944,5434
11639,95,1,1, ,100706,2,30,RT 87I MAJ DEGAN EXPY UNDER,MACOMBS RD OVER, ,1066889, ,Y,Cross Bronx Exp, ,50, ,10002,010002,100011021,0.07,0.58,39210185,005,0002,,11,Combined Total,Y,,2019,F,92788,5753,2895,6831,13079,2018,92512,6,50,2016,93986,2010,127151,2009,115798,2018,28,21,7,14,0,72,6,1,7,1,1,1,2019,,,,,,,,13.07251072,59.18663025,0,19910,21,Actual,,,,,6754,4944,5434
11627,95,1,1, ,100706,2,30,MACOMBS RD OVER,END I95/US1 OLAP WEBSTER AVE, , , ,Y,Cross Bronx Exp, ,50, ,10003,010003,100706022,0.25,0.96,39236564,005,0003,0199,11,Combined Total,Y,,2019,A,149790,9780,5131,10277,14543,2019,149790,7,52,2017,140677,2014,162758,2012,163769,2017,21,17,7,10,0,79,5,1,6,1,1,0,2019,2019,,27,,,7,1,13.07251072,59.18663025,0,24820,17,Actual,,,,,8570,6324,6717
11611,95,1,1, ,100706,2,30,MACOMBS RD OVER,END I95/US1 OLAP WEBSTER AVE, , , ,Y,Cross Bronx Exp, ,50, ,10003,010003,100011021,0.58,1.21,39236564,005,0003,0199,11,Combined Total,Y,,2019,A,149790,9780,5131,10277,14543,2019,149790,7,52,2017,140677,2014,162758,2012,163769,2017,21,17,7,10,0,79,5,1,6,1,1,0,2019,2019,,27,,,7,1,13.07251072,59.18663025,0,24820,17,Actual,,,,,8570,6324,6717
11617,95,1,1, ,100706,2,30,MACOMBS RD OVER,END I95/US1 OLAP WEBSTER AVE, , , ,Y,Cross Bronx Exp, ,50, ,10003,010003,100706021,0.58,1.21,39236564,005,0003,0199,11,Combined Total,Y,,2019,A,149790,9780,5131,10277,14543,2019,149790,7,52,2017,140677,2014,162758,2012,163769,2017,21,17,7,10,0,79,5,1,6,1,1,0,2019,2019,,27,,,7,1,13.07251072,59.18663025,0,24820,17,Actual,,,,,8570,6324,6717
11591,1,2,1, ,100011,2,30,END I95/US1 OLAP WEBSTER AVE,E FORDHAM RD, , , ,Y,WEBSTER AVE, ,50, ,10004,010004,100011021,1.21,2.72,39186168,005,0004,,14,Combined Total,Y,,2019,F,15127,945,544,307,369,2018,15198,6,58,2015,17188,2013,26223,2009,16358,2018,14,4,2,2,1,85,10,0,2,1,0,0,2019,2018,25,25,27,32,0,0,13.07251072,59.18663025,0,676,4,Actual,,,,,1002,926,1045
