,Station,Roadway Name,Station Start,Station End
1293,10001,Alexander Hamil,NY/Bronx Co Line,RT 87I MAJ DEGAN EXPY UNDER
1294,10002,Cross Bronx Exp,RT 87I MAJ DEGAN EXPY UNDER,MACOMBS RD OVER
1295,10003,Cross Bronx Exp,MACOMBS RD OVER,END I95/US1 OLAP WEBSTER AVE
1296,10004,WEBSTER AVE,END I95/US1 OLAP WEBSTER AVE,E FORDHAM RD
1297,10005,E FORDHAM RD,E FORDHAM RD,RT 907H BRONX RIVER PKWY SOU
886,10006,E FORDHAM RD,RT 907H BRONX RIVER PKWY SOU,RT 907F PELHAM PKWY BOSTON P
1298,10007,BOSTON RD,RT 907F PELHAM PKWY BOSTON P,GUN HILL RD
1148,10008,BOSTON RD,GUN HILL RD,RT 22 PROVOST AVE
1299,10009,BOSTON RD,RT 22 PROVOST AVE,Bronx/West Co Line
99,10010,BROADWAY,NY/Bronx Co Line,VAN CORTLAND SOUTH
193,10011,BROADWAY,VAN CORTLAND SOUTH,START 9/9A OLAP H.H. PKY
405,10012,BROADWAY,START 9/9A OLAP H.H. PKY,Bronx/West Co Line
557,10014,HENRY HUDSON PK,NY/Bronx Co Line,RIVERDALE AVE OVER
1300,10015,THROGS NECK EXP,I-295,ACC I-95
896,10016,HENRY HUDSON PK,RIVERDALE AVE OVER,END 9A/907V OLAP & RT 9 OVER
1301,10018,PROVOST AVE,RT 1,EAST 233RD ST
1261,10019,PROVOST AVE,EAST 233RD ST,Bronx/West Co Line
1302,10020,Major Deegan Ex,Mrg I278 WB Off Ramp,Willis Ave (Over)
1303,10021,Major Deegan Ex,ACC WILLIS AVE,ACC EAST 138TH ST
1304,10023,Major Deegan Ex,ACC EAST 138TH ST,ACC MACOMBS DAM BRIDGE
1305,10024,Major Deegan Ex,ACC MACOMBS DAM BRIDGE,ACC 95I CROSS BRNX EPY
1306,10025,Major Deegan Ex,ACC 95I CROSS BRNX EPY,ACC W FORDHAM RD
1307,10026,Major Deegan Ex,ACC W FORDHAM RD,ACC WEST 230TH ST
1308,10027,Major Deegan Ex,ACC HENRY HUDSON PKWY,ACC EAST 233 ST
1309,10028,Major Deegan Ex,ACC VAN CORTLAND PARK,ACC HENRY HUDSON PKWY
1310,10030,Major Deegan Ex,ACC EAST 233 ST,Bronx/West Co Line
1311,10031,Cross Bronx Exp,END I95/US1 OLAP WEBSTER AVE,CROTONA AVE OVER
1312,10032,Cross Bronx Exp,CROTONA AVE OVER,I895 SHERIDAN EXPWY UNDER
1313,10033,Cross Bronx Exp,I895 SHERIDAN EXPWY UNDER,RT 907H BRONX RIVER PKWY UND
1314,10034,Cross Bronx Exp,RT 907H BRONX RIVER PKWY UND,WESTCHESTER AVE OVER
1315,10035,Cross Bronx Exp,WESTCHESTER AVE OVER,I-278 END CONNECTION
1316,10036,Bruckner Expres,I-278 END CONNECTION,I-695 UNDER
1317,10037,Bruckner Expres,I-695 UNDER,RT 907F PELHAM PKWY UNDER -
1318,10038,Bruckner Expres,RT 907F PELHAM PKWY UNDER -,RT 908A  HUTCHINSON RIVER PK
1319,10039,New England Thr,RT 908A  HUTCHINSON RIVER PK,INTER 12 E 222 ST AND BAYCHE
1320,10040,New England Thr,INTER 12 E 222 ST AND BAYCHE,INTER 13 CONNER ST OVER
1321,10041,New England Thr,INTER 13 CONNER ST OVER,RT 908A HUTCHINSON RIVER PKW
1322,10042,New England Thr,RT 908A HUTCHINSON RIVER PKW,Bronx/West Co Line
1323,10043,Robert F. Kenne,NY/Bronx Co Line,I-87 MAJOR DEEGAN EXPWY EXIT
1324,10044,Bruckner Expres,I-87 MAJOR DEEGAN EXPWY EXIT,EXIT 46 I-895 SHERIDAN EXPRE
685,10045,Bruckner Expres,EXIT 46 I-895 SHERIDAN EXPRE,BRONX RIVER PKWY NORTH EX
1325,10046,Bruckner Expres,BRONX RIVER PKWY NORTH EX,CASTLE HILL AVE
1326,10047,Bruckner Expres,CASTLE HILL AVE,I-95 CROSS BRONX EXPWY END R
1327,10048,CROSS BRONX EXP,Queens/Bronx Co Line,RAMP/ACC TO RT 695I
1253,10049,CROSS BRONX EXP,RAMP/ACC TO RT 695I,ACC RT 95I END RT 295I
1328,10050,Arthur V. Sheri,I-278/START I-895,START WESTCHESTER AVE OFF-RA
1329,10051,Arthur V. Sheri,START WESTCHESTER AVE OFF-RA,END I-895 / I-95/CROSS-BRONX
1330,10052,Bronx-Whiteston,Queens/Bronx Co Line,ACC RAMP RT 907W HUTCHINSON
1331,10053,Hutchinson Rive,ACC RAMP RT 907W HUTCHINSON,ACC RT 95I & 278I END RT 678
1332,10054,Major Deegan Ex,ACC WEST 230TH ST,ACC VAN CORTLAND PARK
1333,10055,HENRY HUDSON PK,END 9A/907V OLAP & RT 9 OVER,START 9/9A OLAP
87,10900,BRONX PELHAM PK,RT 1 BOSTON RD,WHITE PLAINS RD
1334,10901,BRONX PELHAM PK,WHITE PLAINS RD,MULINER AVE
1335,10902,BRONX PELHAM PK,MULINER AVE,WILLIAMSBRIDGE RD
1336,10903,BRONX PELHAM PK,WILLIAMSBRIDGE RD,WILSON AVE
1337,10904,BRONX PELHAM PK,WILSON AVE,EASTCHESTER RD
1338,10905,BRONX PELHAM PK,EASTCHESTER RD,STILLWELL AVE
1339,10906,BRONX PELHAM PK,STILLWELL AVE,RT 908A HUTCHINSON RIVER PKW
1340,10907,BRONX PELHAM PK,RT 908A HUTCHINSON RIVER PKW,RT 95I BRUCKNER EXPWY OVER
1341,10908,BRONX RIVER PKW,JCT METCALF AVE & STORY AVE,RT 95I CROSS BRONX EXPWY OVE
1342,10910,BRONX RIVER PKW,RT 95I CROSS BRONX EXPWY OVE,RT 1 E FORHAM RD UNDER
1343,10911,BRONX RIVER PKW,RT 1 E FORHAM RD UNDER,RT 908F MOSHOLU PKY UNDER
1344,10912,BRONX RIVER PKW,RT 908F MOSHOLU PKY UNDER,E  GUN HILL RD OVER
1345,10913,BRONX RIVER PKW,E  GUN HILL RD OVER,E 233RD ST (OVER)
1346,10914,BRONX RIVER PKW,E 233RD ST (OVER),NCL NYC/WESTCHESTER CL - NER
1347,10917,HENRY HUDSON PK,END 9A/907V OLAP & RT 9 OVER,RT 908F MOSHOLU PKWY OVER
1348,10918,HENRY HUDSON PK,RT 908F MOSHOLU PKWY OVER,BRONX/WESTCHESTER CL
1349,10920,Hutchinson Rive,I-95 CROSS BRONX EXPWY,RT 907F BRONX PELHAM PWKY
1350,10921,Hutchinson Rive,RT 907F BRONX PELHAM PWKY,I-95 NEW ENGLAND THWY
1351,10922,Hutchinson Rive,I-95 NEW ENGLAND THWY,INT RAMP TO ORCHARD BEACH
1352,10923,Hutchinson Rive,INT RAMP TO ORCHARD BEACH,I-95 NEW ENGLAND THWY
650,10924,Hutchinson Rive,I-95 NEW ENGLAND THWY,BRONX/WEST CL/NY NCL
1353,10925,MOSHOLU PKWY,INT BRONX PARK EAST,INT BRONX RIVER PKWY
1354,10926,MOSHOLU PKWY,INT BRONX RIVER PKWY,INT DR THEO KAZIMIROFF BLVD
1355,10927,MOSHOLU PKWY,INT DR THEO KAZIMIROFF BLVD,JCT GRAND BLVD & CONCOURSE
1356,10929,MOSHOLU PKWY,JCT GRAND BLVD & CONCOURSE,INT 87I MAJOR DEEGAN
1357,10930,MOSHOLU PKWY,INT 87I MAJOR DEEGAN,INT HENRY HUDSON PWKY
144,11001,E 149TH ST,BRUCKNER BLVD,END OF ST
1358,11002,BAYCHESTR AVE,CO OP CITY BLV,ROMBOUTS AVE
1359,11003,BAYCHESTER AVE,E 233RD ST,PITMAN AVE
1360,11004,E 165TH ST,MORRIS AVE,BROOK AVE
1361,11005,PELHAM PKWY N,EASTCHESTER RD,STILLWELL AVE
1362,11006,PELHAM PKWY N,BRONXWOOD AVE,WILLIMSBRDG RD
927,11007,PELHAM PKWY N,BRONXWOOD AVE,WHITE PLAINS RD
1363,11008,E MSHOLU PKY N,WEBSTER AVE,BAINBRIDGE AVE
1181,11009,WILLIAMSBRIDGE,ALLERTON AVE,BOSTON RD
1364,11010,BOSTON RD,E 180TH ST,BRONX PARK S
1365,11011,TILLOTSON AVE,ROMBOUTS AVE,CONNER ST
1366,11101,ALEXANDER AVE,E 132ND ST,E 135TH ST
304,11102,BARRETTO ST,BRUCKNER EXPY,GARRISON AVE
443,11103,BARTOW AVE,GUN HILL RD,BAYCHESTER AVE
641,11104,BARTOW AVE,BAYCHESTER AVE,CO-OP CITY BLVD
1367,11105,BAYCHESTER AVE,E 222ND ST,BOSTON RD
1368,11106,BAYCHESTER AVE,BOSTON RD,E 233RD ST
1369,11107,BAYCHESTER AVE,PITMAN AVE,E 241ST ST
1370,11109,BOSTON RD,THIRD AVE,PROSPECT AVE
53,11110,BOSTON RD,PROSPECT AVE,SOUTHERN BLVD
234,11111,BOSTON RD,SOUTHERN BLVD,E TREMONT AVE
388,11112,BOSTON RD,BRONX RVR PKWY,
610,11114,BRONX PARK E,WHITE PLAINS R,BOSTON RD
740,11115,BRONXDALE AVE,E TREMONT AVE,SACKET AVE
1371,11116,BRONXDALE AVE,SACKET AVE,BRONX PARK E
1372,11117,BROWN PL,BRUCKNER BLVD,E 134TH ST
1373,11118,BRUCKNER BLVD,THIRD AVE,WILLIS AVE
1374,11119,BRUCKNER BLVD,WILLIS AVE,E 135TH ST
16,11120,BRUCKNER BLVD,E 135TH ST,E 149TH ST
149,11121,BRUCKNER BLVD,E 149TH ST,LEGGETT AVE
1375,11122,BRUCKNER BLVD,LEGGETT AVE,TIFFANY ST
444,11123,BRUCKNER BLVD,TIFFANY ST,SHERIDAN EXPWY
1376,11124,BRUCKNR BLV SW,WESTCHESTER AVE,JARVIS AVE
681,11125,BRUCKNER BLVD E,SHERIDAN EXPY,BRONX RIVER PKWY
1377,11126,BRUCKNER BLV EN,BRONX R PKWY,WHITE PLAINS R
1378,11127,BURR AVE,PELHAM PKWY SQ,WESTCHESTER AVE
1379,11128,CASTLE HILL AVE,I278,WESTCHESTER AV
1380,11129,CASTLE HILL AVE,WESTCHESTER AV,E TREMONT AVE
1381,11130,CONNER ST,PEARTREE AVE,IN95
1382,11131,CONNER ST,IN95,BOSTON RD
1383,11132,CO-OP CITY BLVD,BARTOW AVE,PEARTREE AVE
1384,11133,CO-OP CITY BLVD,PEARTREE AVE,IN95
1385,11134,CROTONA AVE,BOSTON RD,IN95
1386,11135,CROTONA AVE,IN95,SOUTHERN BLVD
1387,11136,DR KAZIMIROFF B,E FORDHAM RD,MOSHOLU PKWY
1388,11137,E 135TH ST,WILLIS AVE,LINCOLN AVE
1145,11138,E 138TH ST,NEW YORK CO / L,IN87
1190,11139,E 138TH ST,IN87,THIRD AVE
1389,11140,E 138TH ST,THIRD AVE,WILLIS AVE
122,11141,E 138TH ST,WILLIS AVE,BRUCKNER BLVD
1390,11142,E 151ST ST,RIVER AVE,GRD CONCRS/BLV
1391,11143,E 153RD ST,SB ENT 87I,RIVER AVE
1392,11144,E 157TH ST,87I NB RAMP,E 153RD ST
1393,11145,E 161ST ST,JEROME AVE,MACOMBS DMBRG
1394,11146,E 161ST ST,MACOMBS DMBRG,RIVER AVE
1395,11147,E 161ST ST,RIVER AVE,GRD CONCOURSE
1396,11148,E 161ST ST,GRD CONCOURSE,MELROSE AVE
1397,11149,E 163RD ST,WASHINGTON AVE,REV J POLITE
81,11150,E 163RD ST,REV J POLITE,BRUCKNER BLVD
1398,11151,E 233RD ST,JEROME AVE,WEBSTER AVE
391,11152,E 233RD ST,WHITE PLAINS RD,BAYCHESTER AVE
1399,11153,E 233RD ST,BAYCHESTER AVE,BOSTON RD
578,11154,E 241ST ST,WHITE PLAINS RD,BAYCHESTER AVE
698,11155,E FORDHAM RD,JEROME AVE,GRAND CONCOURSE
1400,11156,E FORDHAM RD,GRD BLV/CNCRS,E KINGSBRDG RD
