OBJECTID,RCSTA,RC Code,Roadway Name,Station Start,Station End,Functional Class,Factor Group,Specific Recorder Placement,Channel Notes,Vehicle Axle Code,Count Year,Count Month,Day of First Data,Federal Direction,Full Count,1200am-0100am,0100am-0200am,0200am-0300am,0300am-0400am,0400am-0500am,0500am-0600am,0600am-0700am,0700am-0800am,0800am-0900am,0900am-1000am,1000am-1100am,1100am-1200pm,1200pm-0100pm,0100pm-0200pm,0200pm-0300pm,0300pm-0400pm,0400pm-0500pm,0500pm-0600pm,0600pm-0700pm,0700pm-0800pm,0800pm-0900pm,0900pm-1000pm,1000pm-1100pm,1100pm-1200pm,Average Weekday Daily Traffic,Seasonal Factor,Axle Factor,AADT,High Hour Value,High Hour Interval,Average Weekday F1S,Average Weekday F2S,Average Weekday F3S,Average Weekday F4S,Average Weekday F5S,Average Weekday F6S,Average Weekday F7S,Average Weekday F8S,Average Weekday F9S,Average Weekday F10S,Average Weekday F11S,Average Weekday F12S,Average Weekday F13S,Average Weekday Unclassified,Average Weekday Totals,Average Weekday Percent F3_13,Average Weekday Percent F4_13,Average Weekday Percent F4_7,Average Weekday Percent F8_13,Average Weekday Percent F1,Average Weekday Percent F2,Average Weekday Percent F3,Average Weekday Percent F4,Average Weekday Percent F5_7,Axle Correction Factor,Single Unit Peak,Combination Unit Peak,Single Unit AADT,Combination Unit AADT,Average Speed,50th Percentile Speed,85th Percentile Speed,Vehicles Exceeding 55mph,Vehicles Exceeding 65mph,Region,Region Number,County Number,Municipality,Latitude,Longitude,x,y
105130,011263,01,BRUCKNER BLVD S,WHITE PLAINS RD,BRONX RIVER PKWY,14,30,143 Ft. W/O Beach Ave.      ,011263                                             / 011263,1,2019,1,15,Westbound,,178,94,63,58,80,314,1255,1404,1376,1069,887,951,810,773,980,1092,1062,998,956,636,502,393,295,228,16454,0.942,1,17467,1404,8,15,14702,780,586,328,0,0,0,39,0,0,0,0,,16450,11,6,6,0,0,89,5,4,2,1,1,0,,,,,,,,,11,1,,40.82551,-73.86545,595669.5054000001,4520006.5977
105131,011263,01,BRUCKNER BLVD S,WHITE PLAINS RD,BRONX RIVER PKWY,14,30,143 Ft. W/O Beach Ave.      ,,1,2019,1,15,Combined Total,Y,178,94,63,58,80,314,1255,1404,1376,1069,887,951,810,773,980,1092,1062,998,956,636,502,393,295,228,16454,0.942,1,17467,1404,8,15,14702,780,586,328,0,0,0,39,0,0,0,0,,16450,11,6,6,0,0,89,5,4,2,1,1,0,,,,,,,,,11,1,,40.82551,-73.86545,595669.5054000001,4520006.5977
106018,041173,04,E 63RD ST,YORK AVE,LEXINGTON AVE,14,30,263 Ft. W/O 2nd Ave.        ,041173                                             / 041173,1,2019,1,14,Westbound,,349,182,140,236,412,716,814,826,645,640,678,602,597,604,579,658,707,734,749,701,693,662,803,582,14309,0.942,1,15190,826,8,42,13221,795,75,168,0,0,0,1,0,0,0,0,,14302,7,2,2,0,0,92,6,1,1,1,0,0,,,,,,,,,11,4,,40.76347,-73.96334,587496.3353000004,4513017.3861
106019,041173,04,E 63RD ST,YORK AVE,LEXINGTON AVE,14,30,263 Ft. W/O 2nd Ave.        ,,1,2019,1,14,Combined Total,Y,349,182,140,236,412,716,814,826,645,640,678,602,597,604,579,658,707,734,749,701,693,662,803,582,14309,0.942,1,15190,826,8,42,13221,795,75,168,0,0,0,1,0,0,0,0,,14302,7,2,2,0,0,92,6,1,1,1,0,0,,,,,,,,,11,4,,40.76347,-73.96334,587496.3353000004,4513017.3861
110282,063003,06,I278 Exit 3 & 4,GOETHALS RD,I278 WB (ON),11,30,288 Ft. E/O I 278           ,063003                                            ,1,2019,2,5,Westbound,,29,20,20,24,44,106,161,230,246,265,311,280,228,283,332,388,378,292,202,144,100,76,38,48,4245,0.963,1,4408,388,16,1,2494,412,37,512,0,0,0,795,0,0,0,0,,4251,41,32,13,19,0,59,10,1,12,1,1,2,,,,,,,,,11,6,,40.62586,-74.17819,569505.1919,4497549.896199999
110283,063003,06,I278 Exit 3 & 4,GOETHALS RD,I278 WB (ON),11,30,288 Ft. E/O I 278           ,,1,2019,2,5,Combined Total,Y,29,20,20,24,44,106,161,230,246,265,311,280,228,283,332,388,378,292,202,144,100,76,38,48,4245,0.963,1,4408,388,16,1,2494,412,37,512,0,0,0,795,0,0,0,0,,4251,41,32,13,19,0,59,10,1,12,1,1,2,,,,,,,,,11,6,,40.62586,-74.17819,569505.1919,4497549.896199999
110679,063013,06,I278 Exit 10 AT,S GANNON AVE,I278 EB (ON),11,30,314 Ft. W/O I 278           ,063013                                            ,1,2019,2,5,Eastbound,,106,50,43,52,204,584,746,598,754,650,711,756,816,842,945,829,822,724,755,676,750,552,270,142,13377,0.963,1,13891,945,15,16,12416,484,296,136,0,0,0,22,0,0,0,0,,13370,7,3,3,0,0,93,4,2,1,1,0,0,,,,,,,,,11,6,,40.60745,-74.14539,572299.1522000004,4495532.739399999
110680,063013,06,I278 Exit 10 AT,S GANNON AVE,I278 EB (ON),11,30,314 Ft. W/O I 278           ,,1,2019,2,5,Combined Total,Y,106,50,43,52,204,584,746,598,754,650,711,756,816,842,945,829,822,724,755,676,750,552,270,142,13377,0.963,1,13891,945,15,16,12416,484,296,136,0,0,0,22,0,0,0,0,,13370,7,3,3,0,0,93,4,2,1,1,0,0,,,,,,,,,11,6,,40.60745,-74.14539,572299.1522000004,4495532.739399999
111013,015013,01,MORRISON AVE,BRUCKNER BLVD,WATSON AVE,19,30,390 Ft. S/O Waston Ave.     ,015013                                            ,1,2019,1,15,Southbound,,44,32,19,36,42,116,215,284,232,164,142,137,151,166,180,178,151,168,142,128,120,88,92,80,3107,0.942,1,3298,284,8,4,2796,167,73,67,0,0,0,0,0,0,0,0,,3107,10,5,5,0,0,90,5,2,2,1,1,0,,,,,,,,,11,1,,40.82562,-73.87365,594977.8805999998,4520009.888499999
111014,015013,01,MORRISON AVE,BRUCKNER BLVD,WATSON AVE,19,30,390 Ft. S/O Waston Ave.     ,,1,2019,1,15,Combined Total,Y,44,32,19,36,42,116,215,284,232,164,142,137,151,166,180,178,151,168,142,128,120,88,92,80,3107,0.942,1,3298,284,8,4,2796,167,73,67,0,0,0,0,0,0,0,0,,3107,10,5,5,0,0,90,5,2,2,1,1,0,,,,,,,,,11,1,,40.82562,-73.87365,594977.8805999998,4520009.888499999
111030,043043,04,907L Exit 14 at,YORK AVE,907L SB (ON),12,30,213 Ft. N/O FDR              ,043043                                            ,1,2019,1,7,Southbound,,164,82,50,34,52,116,319,512,620,514,421,432,399,430,380,526,526,454,486,494,392,341,308,302,8354,0.942,1,8868,620,9,9,8204,0,118,11,0,0,0,0,0,0,0,0,,8342,2,2,2,0,0,98,0,1,0,1,0,0,,,,,,,,,11,4,,40.77979,-73.94393,589112.7994999997,4514848.5723
111031,043043,04,907L Exit 14 at,YORK AVE,907L SB (ON),12,30,213 Ft. N/O FDR              ,,1,2019,1,7,Combined Total,Y,164,82,50,34,52,116,319,512,620,514,421,432,399,430,380,526,526,454,486,494,392,341,308,302,8354,0.942,1,8868,620,9,9,8204,0,118,11,0,0,0,0,0,0,0,0,,8342,2,2,2,0,0,98,0,1,0,1,0,0,,,,,,,,,11,4,,40.77979,-73.94393,589112.7994999997,4514848.5723
